codigo_sinapi;descricao_sinapi;unidade_medida;custo
91304;"FECHADURA DE EMBUTIR COM CILINDRO, EXTERNA, COMPLETA, ACABAMENTO PADRÃO POPULAR, INCLUSO EXECUÇÃO DE FURO - FORNECIMENTO E INSTALAÇÃO. AF_12/2019";UN;"135,51"
91305;"FECHADURA DE EMBUTIR PARA PORTA DE BANHEIRO, COMPLETA, ACABAMENTO PADRÃO POPULAR, INCLUSO EXECUÇÃO DE FURO - FORNECIMENTO E INSTALAÇÃO. AF_12/2019";UN;"134,72"
91306;"FECHADURA DE EMBUTIR PARA PORTAS INTERNAS, COMPLETA, ACABAMENTO PADRÃO MÉDIO, COM EXECUÇÃO DE FURO - FORNECIMENTO E INSTALAÇÃO. AF_12/2019";UN;"193,59"
91307;"FECHADURA DE EMBUTIR PARA PORTAS INTERNAS, COMPLETA, ACABAMENTO PADRÃO POPULAR, COM EXECUÇÃO DE FURO - FORNECIMENTO E INSTALAÇÃO. AF_12/2019";UN;"114,86"
91312;"KIT DE PORTA DE MADEIRA PARA PINTURA, SEMI-OCA (LEVE OU MÉDIA), PADRÃO POPULAR, 60X210CM, ESPESSURA DE 3,5CM, ITENS INCLUSOS: DOBRADIÇAS, MONTAGEM E INSTALAÇÃO DO BATENTE, FECHADURA COM EXECUÇÃO DO FURO - FORNECIMENTO E INSTALAÇÃO. AF_12/2019";UN;"965,90"
91313;"KIT DE PORTA DE MADEIRA PARA PINTURA, SEMI-OCA (LEVE OU MÉDIA), PADRÃO POPULAR, 70X210CM, ESPESSURA DE 3,5CM, ITENS INCLUSOS: DOBRADIÇAS, MONTAGEM E INSTALAÇÃO DO BATENTE, FECHADURA COM EXECUÇÃO DO FURO - FORNECIMENTO E INSTALAÇÃO. AF_12/2019";UN;"956,14"
91314;"KIT DE PORTA DE MADEIRA PARA PINTURA, SEMI-OCA (LEVE OU MÉDIA), PADRÃO POPULAR, 80X210CM, ESPESSURA DE 3,5CM, ITENS INCLUSOS: DOBRADIÇAS, MONTAGEM E INSTALAÇÃO DO BATENTE, FECHADURA COM EXECUÇÃO DO FURO - FORNECIMENTO E INSTALAÇÃO. AF_12/2019";UN;"1.003,62"
91315;"KIT DE PORTA DE MADEIRA PARA PINTURA, SEMI-OCA (LEVE OU MÉDIA), PADRÃO POPULAR, 90X210CM, ESPESSURA DE 3,5CM, ITENS INCLUSOS: DOBRADIÇAS, MONTAGEM E INSTALAÇÃO DO BATENTE, FECHADURA COM EXECUÇÃO DO FURO - FORNECIMENTO E INSTALAÇÃO. AF_12/2019";UN;"1.085,42"
91316;"KIT DE PORTA DE MADEIRA PARA PINTURA, SEMI-OCA (PESADA OU SUPERPESADA), PADRÃO POPULAR, 80X210CM, ESPESSURA DE 3,5CM, ITENS INCLUSOS: DOBRADIÇAS, MONTAGEM E INSTALAÇÃO DO BATENTE, FECHADURA COM EXECUÇÃO DO FURO - FORNECIMENTO E INSTALAÇÃO. AF_12/2019";UN;"1.269,77"
91317;"KIT DE PORTA DE MADEIRA PARA PINTURA, SEMI-OCA (PESADA OU SUPERPESADA), PADRÃO POPULAR, 90X210CM, ESPESSURA DE 3,5CM, ITENS INCLUSOS: DOBRADIÇAS, MONTAGEM E INSTALAÇÃO DO BATENTE, FECHADURA COM EXECUÇÃO DO FURO - FORNECIMENTO E INSTALAÇÃO. AF_12/2019";UN;"1.342,28"
91318;"KIT DE PORTA DE MADEIRA PARA PINTURA, SEMI-OCA (LEVE OU MÉDIA), PADRÃO POPULAR, 60X210CM, ESPESSURA DE 3,5CM, ITENS INCLUSOS: DOBRADIÇAS, MONTAGEM E INSTALAÇÃO DO BATENTE, SEM FECHADURA - FORNECIMENTO E INSTALAÇÃO. AF_12/2019";UN;"831,18"
91319;"KIT DE PORTA DE MADEIRA PARA PINTURA, SEMI-OCA (LEVE OU MÉDIA), PADRÃO POPULAR, 70X210CM, ESPESSURA DE 3,5CM, ITENS INCLUSOS: DOBRADIÇAS, MONTAGEM E INSTALAÇÃO DO BATENTE, SEM FECHADURA - FORNECIMENTO E INSTALAÇÃO. AF_12/2019";UN;"841,28"
91320;"KIT DE PORTA DE MADEIRA PARA PINTURA, SEMI-OCA (LEVE OU MÉDIA), PADRÃO POPULAR, 80X210CM, ESPESSURA DE 3,5CM, ITENS INCLUSOS: DOBRADIÇAS, MONTAGEM E INSTALAÇÃO DO BATENTE, SEM FECHADURA - FORNECIMENTO E INSTALAÇÃO. AF_12/2019";UN;"868,11"
91321;"KIT DE PORTA DE MADEIRA PARA PINTURA, SEMI-OCA (LEVE OU MÉDIA), PADRÃO POPULAR, 90X210CM, ESPESSURA DE 3,5CM, ITENS INCLUSOS: DOBRADIÇAS, MONTAGEM E INSTALAÇÃO DO BATENTE, SEM FECHADURA - FORNECIMENTO E INSTALAÇÃO. AF_12/2019";UN;"949,91"
91322;"KIT DE PORTA DE MADEIRA PARA PINTURA, SEMI-OCA (PESADA OU SUPERPESADA), PADRÃO POPULAR, 80X210CM, ESPESSURA DE 3,5CM, ITENS INCLUSOS: DOBRADIÇAS, MONTAGEM E INSTALAÇÃO DO BATENTE, SEM FECHADURA - FORNECIMENTO E INSTALAÇÃO. AF_12/2019";UN;"1.134,26"
91323;"KIT DE PORTA DE MADEIRA PARA PINTURA, SEMI-OCA (PESADA OU SUPERPESADA), PADRÃO POPULAR, 90X210CM, ESPESSURA DE 3,5CM, ITENS INCLUSOS: DOBRADIÇAS, MONTAGEM E INSTALAÇÃO DO BATENTE, SEM FECHADURA - FORNECIMENTO E INSTALAÇÃO. AF_12/2019";UN;"1.206,77"
91324;"KIT DE PORTA DE MADEIRA PARA VERNIZ, SEMI-OCA (LEVE OU MÉDIA), PADRÃO POPULAR, 60X210CM, ESPESSURA DE 3,5CM, ITENS INCLUSOS: DOBRADIÇAS, MONTAGEM E INSTALAÇÃO DO BATENTE, SEM FECHADURA - FORNECIMENTO E INSTALAÇÃO. AF_12/2019";UN;"842,19"
91325;"KIT DE PORTA DE MADEIRA PARA VERNIZ, SEMI-OCA (LEVE OU MÉDIA), PADRÃO POPULAR, 70X210CM, ESPESSURA DE 3,5CM, ITENS INCLUSOS: DOBRADIÇAS, MONTAGEM E INSTALAÇÃO DO BATENTE, SEM FECHADURA - FORNECIMENTO E INSTALAÇÃO. AF_12/2019";UN;"852,81"
91326;"KIT DE PORTA DE MADEIRA PARA VERNIZ, SEMI-OCA (LEVE OU MÉDIA), PADRÃO POPULAR, 80X210CM, ESPESSURA DE 3,5CM, ITENS INCLUSOS: DOBRADIÇAS, MONTAGEM E INSTALAÇÃO DO BATENTE, SEM FECHADURA - FORNECIMENTO E INSTALAÇÃO. AF_12/2019";UN;"912,80"
91327;"KIT DE PORTA DE MADEIRA PARA VERNIZ, SEMI-OCA (LEVE OU MÉDIA), PADRÃO POPULAR, 90X210CM, ESPESSURA DE 3,5CM, ITENS INCLUSOS: DOBRADIÇAS, MONTAGEM E INSTALAÇÃO DO BATENTE, SEM FECHADURA - FORNECIMENTO E INSTALAÇÃO. AF_12/2019";UN;"959,66"
91328;"KIT DE PORTA DE MADEIRA FRISADA, SEMI-OCA (LEVE OU MÉDIA), PADRÃO MÉDIO 60X210CM, ESPESSURA DE 3CM, ITENS INCLUSOS: DOBRADIÇAS, MONTAGEM E INSTALAÇÃO DO BATENTE, SEM FECHADURA - FORNECIMENTO E INSTALAÇÃO. AF_12/2019";UN;"990,65"
91329;"KIT DE PORTA DE MADEIRA FRISADA, SEMI-OCA (LEVE OU MÉDIA), PADRÃO POPULAR, 60X210CM, ESPESSURA DE 3CM, ITENS INCLUSOS: DOBRADIÇAS, MONTAGEM E INSTALAÇÃO DO BATENTE, SEM FECHADURA - FORNECIMENTO E INSTALAÇÃO. AF_12/2019";UN;"851,72"
91330;"KIT DE PORTA DE MADEIRA FRISADA, SEMI-OCA (LEVE OU MÉDIA), PADRÃO MÉDIO, 70X210CM, ESPESSURA DE 3CM, ITENS INCLUSOS: DOBRADIÇAS, MONTAGEM E INSTALAÇÃO DO BATENTE, SEM FECHADURA - FORNECIMENTO E INSTALAÇÃO. AF_12/2019";UN;"1.019,25"
91331;"KIT DE PORTA DE MADEIRA FRISADA, SEMI-OCA (LEVE OU MÉDIA), PADRÃO POPULAR, 70X210CM, ESPESSURA DE 3CM, ITENS INCLUSOS: DOBRADIÇAS, MONTAGEM E INSTALAÇÃO DO BATENTE, SEM FECHADURA - FORNECIMENTO E INSTALAÇÃO. AF_12/2019";UN;"879,44"
91332;"KIT DE PORTA DE MADEIRA FRISADA, SEMI-OCA (LEVE OU MÉDIA), PADRÃO MÉDIO, 80X210CM, ESPESSURA DE 3,5CM, ITENS INCLUSOS: DOBRADIÇAS, MONTAGEM E INSTALAÇÃO DO BATENTE, SEM FECHADURA - FORNECIMENTO E INSTALAÇÃO. AF_12/2019";UN;"1.059,83"
91333;"KIT DE PORTA DE MADEIRA FRISADA, SEMI-OCA (LEVE OU MÉDIA), PADRÃO POPULAR, 80X210CM, ESPESSURA DE 3,5CM, ITENS INCLUSOS: DOBRADIÇAS, MONTAGEM E INSTALAÇÃO DO BATENTE, SEM FECHADURA - FORNECIMENTO E INSTALAÇÃO. AF_12/2019";UN;"919,15"
91334;"KIT DE PORTA DE MADEIRA TIPO VENEZIANA, PADRÃO MÉDIO, 80X210CM, ESPESSURA DE 3CM, ITENS INCLUSOS: DOBRADIÇAS, MONTAGEM E INSTALAÇÃO DO BATENTE, SEM FECHADURA - FORNECIMENTO E INSTALAÇÃO. AF_12/2019";UN;"1.616,75"
91335;"KIT DE PORTA DE MADEIRA TIPO VENEZIANA, PADRÃO POPULAR, 80X210CM, ESPESSURA DE 3CM, ITENS INCLUSOS: DOBRADIÇAS, MONTAGEM E INSTALAÇÃO DO BATENTE, SEM FECHADURA - FORNECIMENTO E INSTALAÇÃO. AF_12/2019";UN;"1.476,07"
91336;"KIT DE PORTA DE MADEIRA TIPO MEXICANA, MACIÇA (PESADA OU SUPERPESADA), PADRÃO MÉDIO, 80X210CM, ESPESSURA DE 3CM, ITENS INCLUSOS: DOBRADIÇAS, MONTAGEM E INSTALAÇÃO DO BATENTE, SEM FECHADURA - FORNECIMENTO E INSTALAÇÃO. AF_12/2019";UN;"2.008,50"
91337;"KIT DE PORTA DE MADEIRA TIPO MEXICANA, MACIÇA (PESADA OU SUPERPESADA), PADRÃO POPULAR, 80X210CM, ESPESSURA DE 3CM, ITENS INCLUSOS: DOBRADIÇAS, MONTAGEM E INSTALAÇÃO DO BATENTE, SEM FECHADURA - FORNECIMENTO E INSTALAÇÃO. AF_12/2019";UN;"1.867,82"
100659;"ALIZAR DE 5X1,5CM PARA PORTA FIXADO COM PREGOS, PADRÃO MÉDIO - FORNECIMENTO E INSTALAÇÃO. AF_12/2019";M;"14,24"
100660;"ALIZAR DE 5X1,5CM PARA PORTA FIXADO COM PREGOS, PADRÃO POPULAR - FORNECIMENTO E INSTALAÇÃO. AF_12/2019";M;"9,87"
100675;"KIT DE PORTA-PRONTA DE MADEIRA EM ACABAMENTO MELAMÍNICO BRANCO, FOLHA LEVE OU MÉDIA, 90X210, EXCLUSIVE FECHADURA, FIXAÇÃO COM PREENCHIMENTO TOTAL DE ESPUMA EXPANSIVA - FORNECIMENTO E INSTALAÇÃO. AF_12/2019";UN;"934,17"
100676;"BATENTE PARA PORTA COM BANDEIRA, FIXAÇÃO COM PARAFUSO E BUCHA. AF_12/2019";UN;"241,52"
100678;"KIT DE PORTA DE MADEIRA PARA VERNIZ, SEMI-OCA (LEVE OU MÉDIA), PADRÃO MÉDIO, 60X210CM, ESPESSURA DE 3,5CM, ITENS INCLUSOS: DOBRADIÇAS, MONTAGEM E INSTALAÇÃO DE BATENTE, FECHADURA COM EXECUÇÃO DO FURO - FORNECIMENTO E INSTALAÇÃO. AF_12/2019";UN;"1.174,71"
100679;"KIT DE PORTA DE MADEIRA PARA VERNIZ, SEMI-OCA (LEVE OU MÉDIA), PADRÃO POPULAR, 60X210CM, ESPESSURA DE 3,5CM, ITENS INCLUSOS: DOBRADIÇAS, MONTAGEM E INSTALAÇÃO DE BATENTE, FECHADURA COM EXECUÇÃO DO FURO - FORNECIMENTO E INSTALAÇÃO. AF_12/2019";UN;"976,91"
100680;"KIT DE PORTA DE MADEIRA PARA VERNIZ, SEMI-OCA (LEVE OU MÉDIA), PADRÃO MÉDIO, 70X210CM, ESPESSURA DE 3,5CM, ITENS INCLUSOS: DOBRADIÇAS, MONTAGEM E INSTALAÇÃO DE BATENTE, FECHADURA COM EXECUÇÃO DO FURO - FORNECIMENTO E INSTALAÇÃO. AF_12/2019";UN;"1.186,21"
100681;"KIT DE PORTA DE MADEIRA FRISADA, SEMI-OCA (LEVE OU MÉDIA), PADRÃO MÉDIO, 70X210CM, ESPESSURA DE 3CM, ITENS INCLUSOS: DOBRADIÇAS, MONTAGEM E INSTALAÇÃO DE BATENTE, FECHADURA COM EXECUÇÃO DO FURO - FORNECIMENTO E INSTALAÇÃO. AF_12/2019";UN;"1.212,84"
100682;"KIT DE PORTA DE MADEIRA FRISADA, SEMI-OCA (LEVE OU MÉDIA), PADRÃO POPULAR, 70X210CM, ESPESSURA DE 3CM, ITENS INCLUSOS: DOBRADIÇAS, MONTAGEM E INSTALAÇÃO DE BATENTE, FECHADURA COM EXECUÇÃO DO FURO - FORNECIMENTO E INSTALAÇÃO. AF_12/2019";UN;"994,30"
100683;"KIT DE PORTA DE MADEIRA PARA VERNIZ, SEMI-OCA (LEVE OU MÉDIA), PADRÃO MÉDIO, 80X210CM, ESPESSURA DE 3,5CM, ITENS INCLUSOS: DOBRADIÇAS, MONTAGEM E INSTALAÇÃO DE BATENTE, FECHADURA COM EXECUÇÃO DO FURO - FORNECIMENTO E INSTALAÇÃO. AF_12/2019";UN;"1.274,56"
100684;"KIT DE PORTA DE MADEIRA PARA VERNIZ, SEMI-OCA (LEVE OU MÉDIA), PADRÃO POPULAR, 80X210CM, ESPESSURA DE 3,5CM, ITENS INCLUSOS: DOBRADIÇAS, MONTAGEM E INSTALAÇÃO DE BATENTE, FECHADURA COM EXECUÇÃO DO FURO - FORNECIMENTO E INSTALAÇÃO. AF_12/2019";UN;"1.048,31"
100685;"KIT DE PORTA DE MADEIRA PARA VERNIZ, SEMI-OCA (LEVE OU MÉDIA), PADRÃO MÉDIO, 90X210CM, ESPESSURA DE 3,5CM, ITENS INCLUSOS: DOBRADIÇAS, MONTAGEM E INSTALAÇÃO DE BATENTE, FECHADURA COM EXECUÇÃO DO FURO - FORNECIMENTO E INSTALAÇÃO. AF_12/2019";UN;"1.322,29"
100686;"KIT DE PORTA DE MADEIRA PARA VERNIZ, SEMI-OCA (LEVE OU MÉDIA), PADRÃO POPULAR, 90X210CM, ESPESSURA DE 3CM, ITENS INCLUSOS: DOBRADIÇAS, MONTAGEM E INSTALAÇÃO DE BATENTE, FECHADURA COM EXECUÇÃO DO FURO - FORNECIMENTO E INSTALAÇÃO. AF_12/2019";UN;"1.095,17"
100687;"KIT DE PORTA DE MADEIRA FRISADA, SEMI-OCA (LEVE OU MÉDIA), PADRÃO MÉDIO, 60X210CM, ESPESSURA DE 3,5CM, ITENS INCLUSOS: DOBRADIÇAS, MONTAGEM E INSTALAÇÃO DE BATENTE, FECHADURA COM EXECUÇÃO DO FURO - FORNECIMENTO E INSTALAÇÃO. AF_12/2019";UN;"1.184,24"
100688;"KIT DE PORTA DE MADEIRA FRISADA, SEMI-OCA (LEVE OU MÉDIA), PADRÃO POPULAR, 60X210CM, ESPESSURA DE 3CM, ITENS INCLUSOS: DOBRADIÇAS, MONTAGEM E INSTALAÇÃO DE BATENTE, FECHADURA COM EXECUÇÃO DO FURO - FORNECIMENTO E INSTALAÇÃO. AF_12/2019";UN;"986,44"
100689;"KIT DE PORTA DE MADEIRA FRISADA, SEMI-OCA (LEVE OU MÉDIA), PADRÃO MÉDIO, 80X210CM, ESPESSURA DE 3,5CM, ITENS INCLUSOS: DOBRADIÇAS, MONTAGEM E INSTALAÇÃO DE BATENTE, FECHADURA COM EXECUÇÃO DO FURO - FORNECIMENTO E INSTALAÇÃO. AF_12/2019";UN;"1.280,91"
100690;"KIT DE PORTA DE MADEIRA FRISADA, SEMI-OCA (LEVE OU MÉDIA), PADRÃO POPULAR, 80X210CM, ESPESSURA DE 3,5CM, ITENS INCLUSOS: DOBRADIÇAS, MONTAGEM E INSTALAÇÃO DE BATENTE, FECHADURA COM EXECUÇÃO DO FURO - FORNECIMENTO E INSTALAÇÃO. AF_12/2019";UN;"1.054,66"
100691;"KIT DE PORTA DE MADEIRA TIPO VENEZIANA, 80X210CM (ESPESSURA DE 3CM), PADRÃO MÉDIO, ITENS INCLUSOS: DOBRADIÇAS, MONTAGEM E INSTALAÇÃO DE BATENTE, FECHADURA COM EXECUÇÃO DO FURO - FORNECIMENTO E INSTALAÇÃO. AF_12/2019";UN;"1.837,83"
100692;"KIT DE PORTA DE MADEIRA TIPO VENEZIANA, 80X210CM (ESPESSURA DE 3CM), PADRÃO POPULAR, ITENS INCLUSOS: DOBRADIÇAS, MONTAGEM E INSTALAÇÃO DE BATENTE, FECHADURA COM EXECUÇÃO DO FURO - FORNECIMENTO E INSTALAÇÃO. AF_12/2019";UN;"1.611,58"
100693;"KIT DE PORTA DE MADEIRA TIPO MEXICANA, MACIÇA (PESADA OU SUPERPESADA), PADRÃO MÉDIO, 80X210CM, ESPESSURA DE 3,5CM, ITENS INCLUSOS: DOBRADIÇAS, MONTAGEM E INSTALAÇÃO DE BATENTE, FECHADURA COM EXECUÇÃO DO FURO - FORNECIMENTO E INSTALAÇÃO. AF_12/2019";UN;"2.229,58"
100694;"KIT DE PORTA DE MADEIRA TIPO MEXICANA, MACIÇA (PESADA OU SUPERPESADA), PADRÃO POPULAR, 80X210CM, ESPESSURA DE 3,5CM, ITENS INCLUSOS: DOBRADIÇAS, MONTAGEM E INSTALAÇÃO DE BATENTE, FECHADURA COM EXECUÇÃO DO FURO - FORNECIMENTO E INSTALAÇÃO. AF_12/2019";UN;"2.003,33"
100695;"RECOLOCAÇÃO DE FOLHAS DE PORTA DE MADEIRA LEVE OU MÉDIA DE 60CM DE LARGURA, CONSIDERANDO REAPROVEITAMENTO DO MATERIAL. AF_12/2019";UN;"77,70"
100696;"RECOLOCAÇÃO DE FOLHAS DE PORTA DE MADEIRA LEVE OU MÉDIA DE 70CM DE LARGURA, CONSIDERANDO REAPROVEITAMENTO DO MATERIAL. AF_12/2019";UN;"86,34"
100697;"RECOLOCAÇÃO DE FOLHAS DE PORTA DE MADEIRA LEVE OU MÉDIA DE 80CM DE LARGURA, CONSIDERANDO REAPROVEITAMENTO DO MATERIAL. AF_12/2019";UN;"95,04"
100698;"RECOLOCAÇÃO DE FOLHAS DE PORTA DE MADEIRA LEVE OU MÉDIA DE 90CM DE LARGURA, CONSIDERANDO REAPROVEITAMENTO DO MATERIAL. AF_12/2019";UN;"103,73"
100699;"RECOLOCAÇÃO DE FOLHAS DE PORTA DE MADEIRA PESADA OU SUPERPESADA DE 80CM DE LARGURA, CONSIDERANDO REAPROVEITAMENTO DO MATERIAL. AF_12/2019";UN;"123,77"
100700;"PORTA DE MADEIRA COMPENSADA LISA PARA PINTURA, 120X210X3,5CM, 2 FOLHAS, INCLUSO ADUELA 2A, ALIZAR 2A E DOBRADIÇAS. AF_12/2019";UN;"926,40"
100712;"KIT DE PORTA DE MADEIRA PARA VERNIZ, SEMI-OCA (LEVE OU MÉDIA), PADRÃO POPULAR, 70X210CM, ESPESSURA DE 3,5CM, ITENS INCLUSOS: DOBRADIÇAS, MONTAGEM E INSTALAÇÃO DE BATENTE, FECHADURA COM EXECUÇÃO DO FURO - FORNECIMENTO E INSTALAÇÃO. AF_12/2019";UN;"967,67"
100665;"JANELA DE MADEIRA - CEDRINHO/ANGELIM OU EQUIVALENTE DA REGIÃO - DE ABRIR COM 4 FOLHAS (2 VENEZIANAS E 2 GUILHOTINAS PARA VIDRO), COM BATENTE, ALIZAR E FERRAGENS. EXCLUSIVE VIDROS, ACABAMENTO E CONTRAMARCO. FORNECIMENTO E INSTALAÇÃO. AF_12/2019";M2;"1.019,45"
100666;"JANELA DE MADEIRA (PINUS/EUCALIPTO OU EQUIV.) DE ABRIR COM 4 FOLHAS (2 VENEZIANAS E 2 GUILHOTINAS PARA VIDRO), COM BATENTE, ALIZAR E FERRAGENS. EXCLUSIVE VIDROS, ACABAMENTO E CONTRAMARCO. FORNECIMENTO E INSTALAÇÃO. AF_12/2019";M2;"811,03"
100667;"JANELA DE MADEIRA (IMBUIA/CEDRO OU EQUIV.) DE ABRIR COM 4 FOLHAS (2 VENEZIANAS E 2 GUILHOTINAS PARA VIDRO), COM BATENTE, ALIZAR E FERRAGENS. EXCLUSIVE VIDROS, ACABAMENTO E CONTRAMARCO. FORNECIMENTO E INSTALAÇÃO. AF_12/2019";M2;"1.314,10"
100668;"JANELA DE MADEIRA (CEDRINHO/ANGELIM OU EQUIV.) TIPO MAXIM-AR, PARA VIDRO, COM BATENTE, ALIZAR E FERRAGENS. EXCLUSIVE VIDRO, ACABAMENTO E CONTRAMARCO. FORNECIMENTO E INSTALAÇÃO. AF_12/2019";M2;"1.604,25"
100669;"JANELA DE MADEIRA (PINUS/EUCALIPTO OU EQUIV.) TIPO BASCULANTE COM 2 FOLHAS PARA VIDRO, COM BATENTE, ALIZAR E FERRAGENS. EXCLUSIVE VIDROS, ACABAMENTO E CONTRAMARCO. FORNECIMENTO E INSTALAÇÃO. AF_12/2019";M2;"963,00"
100670;"JANELA DE MADEIRA (CEDRINHO/ANGELIM OU EQUIV.) DE CORRER COM 6 FOLHAS (2 VENEZ. FIXAS, 2 VENEZ. DE CORRER E 2 DE CORRER PARA VIDRO), COM BATENTE, ALIZAR E FERRAGENS. EXCLUSIVE VIDROS, ACABAMENTO E CONTRAMARCO. FORNECIMENTO E INSTALAÇÃO. AF_12/2019";M2;"1.273,66"
100671;"JANELA DE MADEIRA (IMBUIA/CEDRO OU EQUIV) DE CORRER COM 6 FOLHAS (2 VENEZIANAS FIXAS, 2 VENEZIANAS DE CORRER E 2 DE CORRER PARA VIDRO), COM BATENTE, ALIZAR E FERRAGENS. EXCLUSIVE VIDROS, ACABAMENTO E CONTRAMARCO. FORNECIMENTO E INSTALAÇÃO. AF_12/2019";M2;"1.573,31"
100672;"JANELA DE MADEIRA (PINUS/EUCALIPTO OU EQUIV.) DE CORRER COM 6 FOLHAS (2 VENEZ. FIXAS, 2 VENEZ. DE CORRER E 2 DE CORRER PARA VIDRO), COM BATENTE, ALIZAR E FERRAGENS. EXCLUSIVE VIDROS, ACABAMENTO E CONTRAMARCO. FORNECIMENTO EINSTALAÇÃO. AF_12/2019";M2;"1.026,85"
100701;"PORTA DE FERRO, DE ABRIR, TIPO GRADE COM CHAPA, COM GUARNIÇÕES. AF_12/2019";M2;"726,20"
94559;"JANELA DE AÇO TIPO BASCULANTE PARA VIDROS, COM BATENTE, FERRAGENS E PINTURA ANTICORROSIVA. EXCLUSIVE VIDROS, ACABAMENTO, ALIZAR E CONTRAMARCO. FORNECIMENTO E INSTALAÇÃO. AF_12/2019";M2;"726,04"
94562;"JANELA DE AÇO DE CORRER COM 4 FOLHAS PARA VIDRO, COM BATENTE, FERRAGENS E PINTURA ANTICORROSIVA. EXCLUSIVE VIDROS, ALIZAR E CONTRAMARCO. FORNECIMENTO E INSTALAÇÃO. AF_12/2019";M2;"655,02"
94587;"CONTRAMARCO DE AÇO, FIXAÇÃO COM ARGAMASSA - FORNECIMENTO E INSTALAÇÃO. AF_12/2019";M;"74,58"
94588;"CONTRAMARCO DE AÇO, FIXAÇÃO COM PARAFUSO - FORNECIMENTO E INSTALAÇÃO. AF_12/2019";M;"63,66"
99837;"GUARDA-CORPO DE AÇO GALVANIZADO DE 1,10M, MONTANTES TUBULARES DE 1.1/4 ESPAÇADOS DE 1,20M, TRAVESSA SUPERIOR DE 1.1/2, GRADIL FORMADO POR TUBOS HORIZONTAIS DE 1 E VERTICAIS DE 3/4, FIXADO COM CHUMBADOR MECÂNICO. AF_04/2019_PS";M;"674,06"
99839;"GUARDA-CORPO DE AÇO GALVANIZADO DE 1,10M DE ALTURA, MONTANTES TUBULARES DE 1.1/2  ESPAÇADOS DE 1,20M, TRAVESSA SUPERIOR DE 2 , GRADIL FORMADO POR BARRAS CHATAS EM FERRO DE 32X4,8MM, FIXADO COM CHUMBADOR MECÂNICO. AF_04/2019_PS";M;"566,02"
99841;"GUARDA-CORPO PANORÂMICO COM PERFIS DE ALUMÍNIO E VIDRO LAMINADO 8 MM, FIXADO COM CHUMBADOR MECÂNICO. AF_04/2019_PS";M;"906,77"
99855;"CORRIMÃO SIMPLES, DIÂMETRO EXTERNO = 1 1/2, EM AÇO GALVANIZADO. AF_04/2019_PS";M;"125,87"
99857;"CORRIMÃO SIMPLES, DIÂMETRO EXTERNO = 1 1/2, EM ALUMÍNIO. AF_04/2019_PS";M;"106,37"
99861;"GRADIL EM FERRO FIXADO EM VÃOS DE JANELAS, FORMADO POR BARRAS CHATAS DE 25X4,8 MM. AF_04/2019";M2;"712,28"
99862;"GRADIL EM ALUMÍNIO FIXADO EM VÃOS DE JANELAS, FORMADO POR TUBOS DE 3/4"". AF_04/2019";M2;"674,90"
90838;PORTA CORTA-FOGO 90X210X4CM - FORNECIMENTO E INSTALAÇÃO. AF_12/2019;UN;"1.833,51"
91338;"PORTA DE ALUMÍNIO DE ABRIR COM LAMBRI, COM GUARNIÇÃO, FIXAÇÃO COM PARAFUSOS - FORNECIMENTO E INSTALAÇÃO. AF_12/2019";M2;"883,19"
91341;"PORTA EM ALUMÍNIO DE ABRIR TIPO VENEZIANA COM GUARNIÇÃO, FIXAÇÃO COM PARAFUSOS - FORNECIMENTO E INSTALAÇÃO. AF_12/2019";M2;"694,52"
94805;"PORTA DE ALUMÍNIO DE ABRIR PARA VIDRO SEM GUARNIÇÃO, 87X210CM, FIXAÇÃO COM PARAFUSOS, INCLUSIVE VIDROS - FORNECIMENTO E INSTALAÇÃO. AF_12/2019";UN;"848,34"
94806;"PORTA EM AÇO DE ABRIR PARA VIDRO SEM GUARNIÇÃO, 87X210CM, FIXAÇÃO COM PARAFUSOS, EXCLUSIVE VIDROS - FORNECIMENTO E INSTALAÇÃO. AF_12/2019";UN;"841,45"
94807;"PORTA EM AÇO DE ABRIR TIPO VENEZIANA SEM GUARNIÇÃO, 87X210CM, FIXAÇÃO COM PARAFUSOS - FORNECIMENTO E INSTALAÇÃO. AF_12/2019";UN;"766,42"
100702;"PORTA DE CORRER DE ALUMÍNIO, COM DUAS FOLHAS PARA VIDRO, INCLUSO VIDRO LISO INCOLOR, FECHADURA E PUXADOR, SEM ALIZAR. AF_12/2019";M2;"483,86"
102188;MOLA HIDRAULICA DE PISO PARA PORTA DE VIDRO TEMPERADO. AF_01/2021;UN;"1.186,61"
102189;"JOGO DE FERRAGENS CROMADAS PARA PORTA DE VIDRO TEMPERADO, UMA FOLHA COMPOSTO DE DOBRADICAS SUPERIOR E INFERIOR, TRINCO, FECHADURA, CONTRA FECHADURA COM CAPUCHINHO SEM MOLA E PUXADOR. AF_01/2021";UN;"313,17"
100703;PUXADOR CENTRAL PARA ESQUADRIA DE MADEIRA. AF_12/2019;UN;"40,02"
100704;"PORTA CADEADO ZINCADO OXIDADO PRETO COM CADEADO DE AÇO INOX, LARGURA DE *50* MM. AF_12/2019";UN;"83,95"
100705;TARJETA TIPO LIVRE/OCUPADO PARA PORTA DE BANHEIRO. AF_12/2019;UN;"98,24"
100706;"CREMONA EM LATÃO CROMADO OU POLIDO, COMPLETA. AF_12/2019";UN;"89,56"
100707;FECHO DE EMBUTIR TIPO UNHA 22CM. AF_12/2019;UN;"177,58"
